##
#  cooling data, log Lamnda, ergs/cm^3/s, = L/n^2,  where n is the total number of particles.  
#
# Format 3
#
# Cooling file formats:
# Format = 0 -> 2 columns: basic total cooling
# 		log(t)  log(total)
# Format = 1 -> 5 columns: cooling components
# 		log(t)  log(total)  log(atomic) log(H2) log(CO)
# Format = 2 -> 7 columns:  cooling components + mu and gamma
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma
# Format = 3 -> 10 columns: 2 plus H ionisation fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII
# Format = 4 -> 4 columns: total and derivatives  must be computed from components and local composition
#           for use when ion fractions are computed (NEQIONISATION),
#           mu and gamma computed too, and each component needs to be multiplied by the 
#           appropriate species fractions to get the correct cooling.  
#  		ie atomic x (fHI+fHII)^2
#  		ie molecular components x (fH2 * abundance wrt H2 )^2 
#           total = atomic*(fH1+fHII)^2 + H2*fH2^2 + CO*fH2^2
# 		log(t)  log(atomic) log(H2) log(CO)
# Format = 5 -> 13 columns: 3 plus xray cooling fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII fxr fsxr fhxr
#
#######
#   Abundances relative to solar ref.
#
#   for He use:			 He/H = 0.0737+0.024*Z/Z_sol
#
#   For Secondary elements  use                  
#	log{N/H}=log[1.1e-5*Z/Z_sol +4.9e-5*(Z/Z_sol)^2]  (Groves et al. ApJ, 2004)
#	log{C/H}=log[6.0e-5*Z/Z_sol +2.0e-4*(z/Z_sol)^2]  (Garnett et al. 1999, ApJ, 513, 168)
#
#   Solar Ref: Asplund, Grevesse & Sauval 2005, ASP Conf. Ser. 336 eds T.G. Barnes & F.N. Bash
#
#######
Solar x 1.0 NEQ Atomic Cooling and EOS, Format 3
3         
663         
3.006239E+00 -2.586884E+01 -2.586884E+01 -6.000000E+01 -6.000000E+01 1.257210E+00 1.666667E+00 0.000000E+00 9.748070E-01 2.519310E-02
3.018759E+00 -2.584972E+01 -2.584972E+01 -6.000000E+01 -6.000000E+01 1.256000E+00 1.666667E+00 0.000000E+00 9.738540E-01 2.614647E-02
3.031251E+00 -2.583074E+01 -2.583074E+01 -6.000000E+01 -6.000000E+01 1.254740E+00 1.666667E+00 0.000000E+00 9.728630E-01 2.713669E-02
3.043720E+00 -2.581189E+01 -2.581189E+01 -6.000000E+01 -6.000000E+01 1.253440E+00 1.666667E+00 0.000000E+00 9.718350E-01 2.816548E-02
3.056154E+00 -2.579324E+01 -2.579324E+01 -6.000000E+01 -6.000000E+01 1.252100E+00 1.666667E+00 0.000000E+00 9.707740E-01 2.922611E-02
3.068509E+00 -2.577408E+01 -2.577408E+01 -6.000000E+01 -6.000000E+01 1.250610E+00 1.666667E+00 0.000000E+00 9.695770E-01 3.042251E-02
3.080832E+00 -2.575505E+01 -2.575505E+01 -6.000000E+01 -6.000000E+01 1.249060E+00 1.666667E+00 0.000000E+00 9.683330E-01 3.166659E-02
3.093113E+00 -2.573609E+01 -2.573609E+01 -6.000000E+01 -6.000000E+01 1.247450E+00 1.666667E+00 0.000000E+00 9.670310E-01 3.296894E-02
3.105357E+00 -2.571723E+01 -2.571723E+01 -6.000000E+01 -6.000000E+01 1.245770E+00 1.666667E+00 0.000000E+00 9.656760E-01 3.432383E-02
3.117553E+00 -2.569842E+01 -2.569842E+01 -6.000000E+01 -6.000000E+01 1.244020E+00 1.666667E+00 0.000000E+00 9.642570E-01 3.574272E-02
3.129712E+00 -2.567971E+01 -2.567971E+01 -6.000000E+01 -6.000000E+01 1.242210E+00 1.666667E+00 0.000000E+00 9.627800E-01 3.721958E-02
3.141820E+00 -2.566102E+01 -2.566102E+01 -6.000000E+01 -6.000000E+01 1.240310E+00 1.666667E+00 0.000000E+00 9.612330E-01 3.876672E-02
3.153882E+00 -2.564241E+01 -2.564241E+01 -6.000000E+01 -6.000000E+01 1.238340E+00 1.666667E+00 0.000000E+00 9.596220E-01 4.037786E-02
